Agency	Description	Uploaded on	Link	Value
COMMODITY FUTURES TRADING COMMISSION	RENEW WEST PRINT SUBSCRIPTI...	2/11/2025		$21,382
COMMODITY FUTURES TRADING COMMISSION	ANNUAL SUBSCRIPTION TO POLI...	2/13/2025		$255,863
CONSUMER FINANCIAL PROTECTION BUREAU	BLOOMBERG TERMINALS	2/11/2025		$178,350
CONSUMER FINANCIAL PROTECTION BUREAU	BLOOMBERG GOVERNMENT SUBSCR...	2/11/2025		$850,353
CONSUMER FINANCIAL PROTECTION BUREAU	POLITICO PRO	2/11/2025		$635,375
CONSUMER FINANCIAL PROTECTION BUREAU	WASHINGTON POST SUBSCRIPTION	2/11/2025		$127,398
CONSUMER FINANCIAL PROTECTION BUREAU	WALL STREET JOURNAL SBSCRIP...	2/11/2025		$216,665
CONSUMER FINANCIAL PROTECTION BUREAU	PROCURE CQ ROLL CALL SUBSCR...	2/11/2025		$245,616
CONSUMER FINANCIAL PROTECTION BUREAU	SEE FPDS	2/11/2025		SEE FPDS
CONSUMER FINANCIAL PROTECTION BUREAU	OMWI TRAINING SUPPORT - DE...	1/29/2025		$9,999,999
CONSUMER FINANCIAL PROTECTION BUREAU	OMWI TRAINING SUPPORT - PSY...	1/29/2025		$9,999,999
COUNCIL OF THE INSPECTORS GENERAL ON INTEGRITY AND EFFICIENCY	SEE FPDS	2/11/2025		SEE FPDS
DEPARTMENT OF AGRICULTURE	DIVERSITY, EQUITY, INCLUSIO...	1/22/2025		$25,000,000
DEPARTMENT OF AGRICULTURE	TO SUPPORT THE IMPLEMENTATI...	1/22/2025		$2,035,756
DEPARTMENT OF AGRICULTURE	DIVERSITY, EQUITY, INCLUSIO...	1/22/2025		$25,000,000
DEPARTMENT OF AGRICULTURE	DIVERSITY, EQUITY, INCLUSIO...	1/22/2025		$25,000,000
DEPARTMENT OF AGRICULTURE	SNAP DIVERSITY, EQUITY, INC...	1/28/2025		$414,892
DEPARTMENT OF AGRICULTURE	THE OBJECTIVE OF THIS BLANK...	1/30/2025		$7,500,000
DEPARTMENT OF AGRICULTURE	DIVERSITY, EQUITY, INCLUSIO...	1/30/2025		$25,000,000
DEPARTMENT OF AGRICULTURE	IP VALUES AND DEIAR COURSE ...	1/31/2025		$293,632
DEPARTMENT OF AGRICULTURE	WEPO EQUITY/ENVIRONMENTAL J...	1/31/2025		$149,921
DEPARTMENT OF AGRICULTURE	USDA COMMUNICATIONS CAMPAIG...	2/4/2025		$984,931
DEPARTMENT OF AGRICULTURE	LAC GENDER EQUITY FACILITATOR	2/6/2025		$31,940
DEPARTMENT OF AGRICULTURE	SOUTH ASIA CLIMATE CHANGE M...	2/6/2025		$279,675
DEPARTMENT OF AGRICULTURE	E&E NEWS SERVICE RENEWAL FE...	2/6/2025		$512,686
DEPARTMENT OF AGRICULTURE	USDA, OC, POLITICO PLUS SU...	2/6/2025		$672,453
DEPARTMENT OF AGRICULTURE	POLITICO PRO PLUS PLAN INCL...	2/6/2025		$159,575
DEPARTMENT OF AGRICULTURE	USDA, OFFICE OF THE GENERAL...	2/6/2025		$546,772
DEPARTMENT OF AGRICULTURE	THIS IS A PURCHASE ORDER FO...	2/6/2025		$42,540
DEPARTMENT OF AGRICULTURE	E & E NEWS SUITE LICENSES	2/6/2025		$87,913
DEPARTMENT OF AGRICULTURE	USDA, OFFICE OF PROPERTY AN...	2/6/2025		$14,360
DEPARTMENT OF AGRICULTURE	USDA, OFFICE OF THE SECRETA...	2/6/2025		$15,325
DEPARTMENT OF AGRICULTURE	INTERCULTURAL COMMUNICATION...	2/7/2025		$254,800
DEPARTMENT OF AGRICULTURE	DEIA CONSULTING SERVICES TO...	2/7/2025		$61,243
DEPARTMENT OF AGRICULTURE	DIVERSITYCOMM ADVERTISING	2/7/2025		$500,000
DEPARTMENT OF AGRICULTURE	DIVERSITYCOMM ADVERTISING	2/7/2025		$100,000
DEPARTMENT OF AGRICULTURE	TO PROCURE E&E NEWS SUBSCRI...	2/7/2025		$79,366
DEPARTMENT OF AGRICULTURE	POLITICOPRO SUBSCRIPTION FO...	2/7/2025		$87,270
DEPARTMENT OF AGRICULTURE	POLITICOPRO ANNUAL SUBSCRIP...	2/7/2025		$177,585
DEPARTMENT OF AGRICULTURE	POLITICO PRO PLUS FOR 4 USE...	2/7/2025		$19,540
DEPARTMENT OF AGRICULTURE	POLITICO PRO PLUS RENEWAL F...	2/7/2025		$23,520
DEPARTMENT OF AGRICULTURE	ANNUAL SUBSCRIPTION TO POLI...	2/7/2025		$11,235
DEPARTMENT OF AGRICULTURE	POLITICO PRO PLUS AS QUOTED...	2/7/2025		$178,456
DEPARTMENT OF AGRICULTURE	EEO SUPPORT SERVICES EIGHTE...	2/10/2025		$1,956,672
DEPARTMENT OF AGRICULTURE	SNAP CHANGE MANAGEMENT	2/10/2025		$420,495
DEPARTMENT OF AGRICULTURE	BLANKET PURCHASE AGREEMENT ...	2/10/2025		$4,000,000
DEPARTMENT OF AGRICULTURE	URBAN FOREST AND COMMUNITY ...	2/10/2025		$11,451
DEPARTMENT OF AGRICULTURE	BRAZIL FOREST AND GENDER CO...	2/10/2025		$229,637
DEPARTMENT OF AGRICULTURE	2025 GETTYSBURG STAFF RIDE ...	2/10/2025		$148,924
DEPARTMENT OF AGRICULTURE	LATIN AMERICA URBAN ECOLOGY...	2/10/2025		$47,508
DEPARTMENT OF AGRICULTURE	PROGRAM EVALUATION AND BASE...	2/10/2025		$82,557
DEPARTMENT OF AGRICULTURE	WORKPLACE ENVIRONMENT, KNOW...	2/10/2025		$116,117
DEPARTMENT OF AGRICULTURE	NIFA SMALL BUSINESS INNOVAT...	2/10/2025		$576,365
DEPARTMENT OF AGRICULTURE	ENVIRONMENTAL REGULATION CO...	2/10/2025		$80,653
DEPARTMENT OF AGRICULTURE	SILVACARBON WOMEN IN FOREST...	2/10/2025		$120,950
DEPARTMENT OF AGRICULTURE	ASIA PACIFIC - SOLOMON ISLA...	2/10/2025		$43,753
DEPARTMENT OF AGRICULTURE	FOREST SERVICE OVERSEAS ENV...	2/10/2025		$298,622
DEPARTMENT OF AGRICULTURE	REGIONAL GENDER AND GABON P...	2/10/2025		$37,818
